id,name,anal,anal_ID,quar,quar_ID,cal,cal_ID,arag,arag_ID,dolo,dolo_ID,orth,orth_ID,anorth,anorth_ID,plagi,plagi_ID,mont,mont_ID,ill,ill_ID,py,py_ID,alb,alb_ID,mus,mus_ID,anothi,anothi_ID,iron,iron_ID,paly,paly_ID,chab,chab_ID,phil,phil_ID,harm,harm_ID,clin,clin_ID,erio,erio_ID,sani,sani_ID,hali,hali_ID,gyp,gyp_ID,andr,andr_ID,nont,nont_ID,any1,any1_ID,any2,any2_ID
28,2A-24Y-1-112-114,3,NA,0,NA,3,01-071-3699,0,NA,0,NA,1,NA,0,NA,0,NA,2,NA,2,00-009-0343,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,2,00-010-0357,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
29,2A-24Y-2-8-10,3,00-041-1478,0,NA,3,01-071-3699,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,1,00-009-0343,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,00-034-0137,1,NA,0,NA,0,NA,0,NA,1,01-083-1657,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
30,2A-25Y-1-16-19,2,NA,2,NA,3,01-071-3699,0,NA,1,01-079-1345,0,NA,0,NA,0,NA,1,NA,1,NA,1,NA,1,NA,1,NA,0,NA,0,NA,0,NA,1,00-034-0137,1,00-039-1375,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
31,2A-25Y-1-48-51,2,NA,0,NA,3,01-071-3699,0,NA,0,NA,0,NA,3,00-009-0478,0,NA,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,00-034-0137,0,NA,0,NA,0,NA,0,NA,1,01-087-0684,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
32,2A-25Y-1-78-81,2,NA,0,NA,3,01-071-3699,0,NA,1,NA,1,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,2,00-020-0528,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
33,2A-25Y-2-16-19,3,NA,3,NA,2,01-071-3699,0,NA,1,NA,1,NA,0,NA,0,NA,2,NA,0,NA,0,NA,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,00-039-1375,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
34,2A-25Y-2-48-51,2,NA,2,NA,3,01-071-3699,0,NA,1,01-079-1345,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,1,NA,0,NA,0,NA,0,NA,1,01-087-0684,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
35,2A-25Y-2-80-83,2,NA,0,NA,2,01-071-3699,0,NA,1,NA,0,NA,0,NA,0,NA,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,01-082-1872,1,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
36,2A-26Y-1-16-19,3,NA,3,NA,3,01-071-3699,0,NA,0,NA,0,NA,2,01-076-0803,0,NA,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,1,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
37,2A-26Y-1-48-51,2,NA,0,NA,3,01-071-3699,0,NA,1,NA,1,NA,0,NA,0,NA,1,NA,1,00-009-0343,0,NA,1,NA,0,NA,1,NA,0,NA,1,00-005-0099,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
38,2A-26Y-1-80-83,2,NA,0,NA,3,00-005-0586,0,NA,2,NA,1,NA,1,01-076-0803,0,NA,1,NA,0,NA,0,NA,2,01-089-6423,0,NA,0,NA,0,NA,1,00-005-0099,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
39,2A-26Y-1-112-115,2,NA,1,NA,3,01-071-3699,0,NA,1,01-079-1345,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,1,00-020-0528,0,NA,1,01-082-1872,0,NA,1,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
40,2A-26Y-2-16-19,2,NA,1,NA,3,00-005-0586,0,NA,0,NA,1,00-019-0002,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,1,00-020-0528,0,NA,1,NA,0,NA,1,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
41,2A-26Y-2-48-51,0,NA,0,NA,2,01-071-3699,0,NA,0,NA,3,NA,0,NA,0,NA,0,NA,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,2,Diopside,0,NA
42,2A-26Y-2-80-83,0,NA,0,NA,3,00-005-0586,0,NA,0,NA,2,NA,1,00-009-0478,0,NA,1,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
43,2A-26Y-2-112-115,0,NA,0,NA,3,01-071-3699,0,NA,0,NA,3,NA,0,NA,0,NA,1,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,01-082-1872,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
44,2A-26Y-2-144-147,0,NA,0,NA,3,00-005-0586,0,NA,0,NA,1,NA,0,NA,0,NA,1,00-012-0204,1,00-009-0343,0,NA,0,NA,0,NA,0,NA,0,NA,1,01-082-1872,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,Amphibole,0,NA
